time	manip	gran	press	averat	laba	proba	StZn	cell_1	cell_2	cell_3
3400	0	4	0	2	1	0	0	1	0	3	
3410	0	4	0	2	1	0	0	1	0	3	
3420	0	4	0	2	1	0	0	1	0	3	
3430	0	4	0	2	1	0	0	1	0	3	
3440	0	4	0	2	1	0	0	1	0	3	
3450	0	4	0	2	1	0	0	1	0	3	
3460	0	4	0	2	1	0	0	1	0	3	
3470	0	4	0	2	1	0	0	1	0	3	
3480	0	4	0	2	1	0	0	1	0	3	
3490	0	4	0	2	1	0	0	1	0	3	
3500	0	4	0	2	1	0	0	1	0	3	
3510	0	4	0	2	1	0	0	1	0	3	
3520	0	4	0	2	1	0	0	1	0	3	
3530	0	4	0	2	1	0	0	1	0	3	
3540	0	4	0	2	1	0	0	1	0	3	
3550	0	4	0	2	1	0	0	1	0	3	
3560	0	4	0	2	1	0	0	1	0	3	
3570	0	4	0	2	1	0	0	1	0	3	
3580	0	4	0	2	1	0	0	1	0	3	
3590	0	4	0	2	1	0	0	1	0	3	
3600	0	4	0	2	1	0	0	1	0	3	
3610	2	4	0	0	0	0	0	1	0	3	
3620	2	4	0	0	0	0	0	1	0	3	
3630	4	0	0	0	0	2	0	1	0	3	
3640	4	0	0	0	2	2	0	1	0	3	
3650	4	0	0	0	2	2	0	1	0	3	
3660	2	0	0	4	2	0	0	1	0	3	
3670	1	0	0	4	2	0	0	0	2	3	
3680	1	0	0	4	2	0	0	0	2	3	
3690	0	0	0	4	2	0	1	0	2	3	
3700	0	0	0	4	2	0	1	0	2	3	
3710	0	0	0	4	2	0	1	0	2	3	
3720	0	0	0	4	2	0	1	0	2	3	
3730	0	0	0	4	2	0	1	0	2	3	
3740	0	0	0	4	2	0	1	0	2	3	
3750	0	0	0	4	2	0	1	0	2	3	
3760	0	0	0	4	2	0	1	0	2	3	
3770	0	0	0	4	2	0	1	0	2	3	
3780	0	0	0	4	2	0	1	0	2	3	
3790	0	0	0	4	2	0	1	0	2	3	
3800	0	0	0	4	2	0	1	0	2	3	
3810	0	0	0	4	2	0	1	0	2	3	
3820	0	0	0	4	2	0	1	0	2	3	
3830	0	0	0	4	2	0	1	0	2	3	
3840	0	0	0	4	2	0	1	0	2	3	
3850	0	0	0	4	2	0	1	0	2	3	
3860	0	0	0	4	2	0	1	0	2	3	
3870	0	0	0	4	2	0	1	0	2	3	
3880	0	0	0	4	2	0	1	0	2	3	
3890	0	0	0	4	2	0	1	0	2	3	
3900	0	0	0	4	2	0	1	0	2	3	
3910	0	0	0	4	2	0	1	0	2	3	
3920	0	0	0	4	2	0	1	0	2	3	
3930	0	0	0	4	2	0	1	0	2	3	
3940	0	0	0	4	2	0	1	0	2	3	
3950	0	0	0	4	2	0	1	0	2	3	
3960	0	0	0	4	2	0	1	0	2	3	
3970	0	0	0	4	2	0	1	0	2	3	
3980	0	0	0	4	2	0	1	0	2	3	
3990	4	0	0	0	0	0	1	0	2	3	
4000	4	0	0	0	0	0	1	0	2	3	
4010	2	0	0	0	0	4	1	0	0	3	
4020	2	0	0	0	4	4	1	0	0	3	
4030	2	0	0	0	4	4	1	0	0	3	
4040	2	0	0	0	4	4	1	0	0	3	
4050	2	0	0	0	4	4	1	0	0	3	
4060	2	0	0	0	4	4	1	0	0	3	
4070	2	0	0	0	4	4	1	0	0	3	
4080	2	0	0	0	4	4	1	0	0	3	
4090	4	2	0	0	4	0	1	0	0	3	
4100	1	2	0	0	4	0	0	4	0	3	
4110	1	2	0	0	4	0	0	4	0	3	
4120	0	2	0	1	4	0	0	4	0	3	
4130	0	2	0	1	4	0	0	4	0	3	
4140	0	2	0	1	4	0	0	4	0	3	
4150	0	2	0	1	4	0	0	4	0	3	
4160	0	2	0	1	4	0	0	4	0	3	
4170	0	2	0	1	4	0	0	4	0	3	
4180	0	2	0	1	4	0	0	4	0	3	
4190	0	2	0	1	4	0	0	4	0	3	
4200	0	2	0	1	4	0	0	4	0	3	
4210	0	2	0	1	4	0	0	4	0	3	
4220	0	2	0	1	4	0	0	4	0	3	
4230	0	2	0	1	4	0	0	4	0	3	
4240	0	2	0	1	4	0	0	4	0	3	
4250	0	2	0	1	4	0	0	4	0	3	
4260	0	2	0	1	4	0	0	4	0	3	
4270	0	2	0	1	4	0	0	4	0	3	
4280	0	2	0	1	4	0	0	4	0	3	
4290	0	2	0	1	4	0	0	4	0	3	
4300	0	2	0	1	4	0	0	4	0	3	
4310	0	2	0	1	4	0	0	4	0	3	
4320	0	2	0	1	4	0	0	4	0	3	
4330	0	2	0	1	4	0	0	4	0	3	
4340	0	2	0	1	4	0	0	4	0	3	
4350	0	2	0	1	4	0	0	4	0	3	
4360	0	2	0	1	4	0	0	4	0	3	
4370	0	2	0	1	4	0	0	4	0	3	
4380	1	2	0	0	0	0	0	4	0	3	
4390	1	2	0	0	0	0	0	4	0	3	
4400	2	0	0	0	0	1	0	4	0	3	
4410	2	0	0	0	1	1	0	4	0	3	
4420	2	0	0	0	1	1	0	4	0	3	
4430	1	0	0	2	1	0	0	4	0	3	
4440	4	0	0	2	1	0	0	0	1	3	
4450	4	0	0	2	1	0	0	0	1	3	
4460	0	0	0	2	1	0	4	0	1	3	
4470	0	0	0	2	1	0	4	0	1	3	
4480	0	0	0	2	1	0	4	0	1	3	
4490	0	0	0	2	1	0	4	0	1	3	
4500	0	0	0	2	1	0	4	0	1	3	
4510	0	0	0	2	1	0	4	0	1	3	
4520	0	0	0	2	1	0	4	0	1	3	
4530	0	0	0	2	1	0	4	0	1	3	
4540	0	0	0	2	1	0	4	0	1	3	
4550	0	0	0	2	1	0	4	0	1	3	
4560	0	0	0	2	1	0	4	0	1	3	
4570	0	0	0	2	1	0	4	0	1	3	
4580	0	0	0	2	1	0	4	0	1	3	
