time	manip	gran	press	averat	laba	proba	StZn
3620	1	2	0	0	0	0	0	
3630	0	2	0	0	0	0	0	
3640	1	0	0	0	0	2	0	
3650	1	0	0	0	1	2	0	
3660	0	0	0	0	1	2	0	
3670	0	0	0	1	1	0	0	
3680	1	0	0	1	1	0	0	
3690	0	0	0	1	1	0	0	
3700	0	0	0	1	1	0	1	
3710	0	0	0	1	1	0	1	
3720	0	0	0	1	1	0	2	
3730	0	0	0	1	1	0	2	
3740	0	0	0	1	1	0	2	
3750	0	0	0	2	1	0	2	
3760	0	0	0	2	1	0	2	
3770	0	0	0	2	1	0	2	
3780	0	0	0	2	1	0	2	
3790	0	0	0	2	1	0	2	
3800	0	0	0	2	1	0	2	
3810	0	0	0	2	1	0	2	
3820	0	0	0	2	1	0	2	
3830	0	0	0	2	1	0	2	
3840	0	0	0	2	1	0	2	
3850	0	0	0	2	1	0	2	
3860	0	0	0	2	1	0	2	
3870	0	0	0	2	1	0	2	
3880	0	0	0	2	1	0	2	
3890	0	0	0	2	1	0	2	
3900	0	0	0	2	1	0	2	
3910	0	0	0	2	1	0	2	
3920	0	0	0	2	1	0	2	
3930	0	0	0	2	1	0	2	
3940	0	0	0	2	1	0	2	
3950	0	0	0	2	1	0	2	
3960	0	0	0	2	1	0	2	
3970	0	0	0	2	1	0	2	
3980	0	0	0	2	1	0	2	
3990	0	0	0	2	2	0	2	
4000	1	0	0	0	0	0	2	
4010	0	0	0	0	0	0	2	
4020	1	0	0	0	0	2	2	
4030	1	0	0	0	1	2	2	
4040	0	0	0	0	1	2	2	
4050	1	0	1	0	1	2	2	
4060	1	0	1	0	1	2	2	
4070	1	0	1	0	1	2	2	
4080	1	0	1	0	1	2	2	
4090	0	0	1	0	1	2	2	
4100	0	1	1	0	1	0	2	
4110	1	1	1	0	1	0	0	
4120	0	1	1	0	1	0	0	
4130	0	1	1	1	1	0	0	
4140	0	1	1	1	1	0	0	
4150	0	1	1	1	1	0	0	
4160	0	1	1	1	1	0	0	
4170	0	1	1	1	1	0	0	
4180	0	1	1	1	1	0	0	
4190	0	1	1	1	1	0	0	
4200	0	1	1	1	1	0	0	
4210	0	1	1	2	1	0	0	
4220	0	1	1	2	1	0	0	
4230	0	1	1	2	1	0	0	
4240	0	1	1	2	1	0	0	
4250	0	1	1	2	1	0	0	
4260	0	1	1	2	1	0	0	
4270	0	1	1	2	1	0	0	
4280	0	1	1	2	1	0	0	
4290	0	1	1	2	1	0	0	
4300	0	1	1	2	1	0	0	
4310	0	2	1	2	1	0	0	
4320	0	2	2	2	1	0	0	
4330	0	2	0	2	1	0	0	
4340	0	2	0	2	1	0	0	
4350	0	2	0	2	1	0	0	
4360	0	2	0	2	1	0	0	
4370	0	2	0	2	1	0	0	
4380	0	2	0	2	2	0	0	
4390	1	2	0	0	0	0	0	
4400	0	2	0	0	0	0	0	
4410	1	0	0	0	0	2	0	
4420	1	0	0	0	1	2	0	
4430	0	0	0	0	1	2	0	
4440	0	0	0	1	1	0	0	
4450	1	0	0	1	1	0	0	
